case,display_name,trace_count,excluded_trace_count,valid_trace_count,median_duration_seconds,median_duration_minutes,min_duration_seconds,max_duration_seconds,median_output_tokens,min_output_tokens,max_output_tokens
spider2lite_f1_overtake_audit_hard,Spider2-Lite,4,0,4,531.457,8.858,235.936,755.148,26816.5,16345,45676
dci_browsecomp_architecture_firm_hard,DCI / BrowseComp+,4,1,3,1465.338,24.422,635.88,1995.148,24126,22839,35060
docfinqa_oilgas_canada_pdf_hard,DocFinQA,4,0,4,99.29,1.655,79.021,176.552,5053.0,3873,7579
docvqa_contract_effective_date_ocr_hard,DocVQA,4,1,3,584.446,9.741,340.479,1317.097,24798,16426,58499
longda_nscg_telework_hard,LongDA,4,0,4,144.219,2.404,110.222,250.707,7041.0,6467,10154
multihiertt_global_products_atoi_share_hard,MultiHiertt,4,0,4,202.472,3.375,93.479,270.018,10099.0,6092,12846
workspacebench_taobao_permissions_hard,WorkspaceBench,4,0,4,300.026,5.0,242.009,901.694,18059.0,12165,53679
dvworld_dvevol_crime_association_network_hard,DVWorld,4,0,4,208.5,3.475,159.665,419.263,11666.0,10266,19371
bankertoolbench_cake_lbo_sensitivity_hard,BankerToolBench,4,0,4,1490.808,24.847,361.88,1725.711,47221.0,22372,62702
finlongdocqa_interest_expense_sensitivity_screen_hard,FinLongDocQA,4,0,4,431.599,7.193,322.43,503.366,20481.0,18031,24417
dabstep_real_fees_1681,DABstep,4,0,4,393.621,6.56,147.476,451.773,23090.0,10714,28730
prepbench_loyalty_tier_normalization_hard,PrepBench,4,0,4,214.062,3.568,164.06,245.438,11929.0,10375,14723
spreadsheetbench_working_paper_transpose_hard,SpreadsheetBench,4,0,4,315.268,5.254,237.543,470.21,15993.0,8932,17206
harveylab_reps_diligence_discrepancy_hard,HarveyLab,4,0,4,367.723,6.129,307.711,1111.019,19634.0,8364,69592
medagentbench_potassium_repletion_order_hard,MedAgentBench,4,0,4,116.039,1.934,84.024,192.27,6589.5,5726,7485
