agent	case	result	trace	validation
rag-agent	spider2lite_f1_overtake_audit_hard	PASS	rag-agent/traces/spider2lite_f1_overtake_audit_hard.jsonl	rag-agent/validation/spider2lite_f1_overtake_audit_hard.txt
rag-agent	dci_browsecomp_architecture_firm_hard	FAIL	rag-agent/traces/dci_browsecomp_architecture_firm_hard.jsonl	rag-agent/validation/dci_browsecomp_architecture_firm_hard.txt
rag-agent	docfinqa_oilgas_canada_pdf_hard	PASS	rag-agent/traces/docfinqa_oilgas_canada_pdf_hard.jsonl	rag-agent/validation/docfinqa_oilgas_canada_pdf_hard.txt
rag-agent	docvqa_contract_effective_date_ocr_hard	FAIL	rag-agent/traces/docvqa_contract_effective_date_ocr_hard.jsonl	rag-agent/validation/docvqa_contract_effective_date_ocr_hard.txt
rag-agent	longda_nscg_telework_hard	PASS	rag-agent/traces/longda_nscg_telework_hard.jsonl	rag-agent/validation/longda_nscg_telework_hard.txt
rag-agent	multihiertt_global_products_atoi_share_hard	PASS	rag-agent/traces/multihiertt_global_products_atoi_share_hard.jsonl	rag-agent/validation/multihiertt_global_products_atoi_share_hard.txt
rag-agent	workspacebench_taobao_permissions_hard	FAIL	rag-agent/traces/workspacebench_taobao_permissions_hard.jsonl	rag-agent/validation/workspacebench_taobao_permissions_hard.txt
rag-agent	dvworld_dvevol_crime_association_network_hard	FAIL	rag-agent/traces/dvworld_dvevol_crime_association_network_hard.jsonl	rag-agent/validation/dvworld_dvevol_crime_association_network_hard.txt
rag-agent	bankertoolbench_cake_lbo_sensitivity_hard	PASS	rag-agent/traces/bankertoolbench_cake_lbo_sensitivity_hard.jsonl	rag-agent/validation/bankertoolbench_cake_lbo_sensitivity_hard.txt
rag-agent	finlongdocqa_interest_expense_sensitivity_screen_hard	FAIL	rag-agent/traces/finlongdocqa_interest_expense_sensitivity_screen_hard.jsonl	rag-agent/validation/finlongdocqa_interest_expense_sensitivity_screen_hard.txt
rag-agent	dabstep_real_fees_1681	PASS	rag-agent/traces/dabstep_real_fees_1681.jsonl	rag-agent/validation/dabstep_real_fees_1681.txt
rag-agent	prepbench_loyalty_tier_normalization_hard	PASS	rag-agent/traces/prepbench_loyalty_tier_normalization_hard.jsonl	rag-agent/validation/prepbench_loyalty_tier_normalization_hard.txt
rag-agent	spreadsheetbench_working_paper_transpose_hard	PASS	rag-agent/traces/spreadsheetbench_working_paper_transpose_hard.jsonl	rag-agent/validation/spreadsheetbench_working_paper_transpose_hard.txt
rag-agent	harveylab_reps_diligence_discrepancy_hard	PASS	rag-agent/traces/harveylab_reps_diligence_discrepancy_hard.jsonl	rag-agent/validation/harveylab_reps_diligence_discrepancy_hard.txt
