case	result	selection	source_run	trace	validation	artifact_manifest	note
spider2lite_f1_overtake_audit_hard	PASS	targeted_retry_3	runs/pg-dsv4pro/rerun-20260715-v114-cc-tie-spider2-retry3	traces/spider2lite_f1_overtake_audit_hard.jsonl	validation/spider2lite_f1_overtake_audit_hard.txt	artifact_manifests/spider2lite_f1_overtake_audit_hard.json	Third normal v1.14 attempt; all answer, evidence, and delivery gates passed.
dci_browsecomp_architecture_firm_hard	FAIL	existing_exact_v114	runs/pg-dsv4pro/rerun-20260707-max64k-cc-codex-gap3	traces/dci_browsecomp_architecture_firm_hard.jsonl	validation/dci_browsecomp_architecture_firm_hard.txt	artifact_manifests/dci_browsecomp_architecture_firm_hard.json	Missing answers.json, evidence.json, and report.md.
docfinqa_oilgas_canada_pdf_hard	PASS	first_current_fill	runs/pg-dsv4pro/rerun-20260715-v114-fill-missing8	traces/docfinqa_oilgas_canada_pdf_hard.jsonl	validation/docfinqa_oilgas_canada_pdf_hard.txt	artifact_manifests/docfinqa_oilgas_canada_pdf_hard.json	Validator PASS.
docvqa_contract_effective_date_ocr_hard	FAIL	existing_exact_v114	runs/pg-dsv4pro/rerun-20260707-v114-max64k-docvqa-clean	traces/docvqa_contract_effective_date_ocr_hard.jsonl	validation/docvqa_contract_effective_date_ocr_hard.txt	artifact_manifests/docvqa_contract_effective_date_ocr_hard.json	Clean delivery, OCR/date answer mismatch.
longda_nscg_telework_hard	PASS	first_current_fill	runs/pg-dsv4pro/rerun-20260715-v114-fill-missing8	traces/longda_nscg_telework_hard.jsonl	validation/longda_nscg_telework_hard.txt	artifact_manifests/longda_nscg_telework_hard.json	All values within tolerance.
multihiertt_global_products_atoi_share_hard	PASS	targeted_retry	runs/pg-dsv4pro/rerun-20260715-v114-cc-tie-multihiertt-retry2	traces/multihiertt_global_products_atoi_share_hard.jsonl	validation/multihiertt_global_products_atoi_share_hard.txt	artifact_manifests/multihiertt_global_products_atoi_share_hard.json	Normal retry after an abnormal terminated batch; validator PASS.
workspacebench_taobao_permissions_hard	FAIL	existing_exact_v114	achieved/runs/noncurrent-20260707-canonical-cleanup/pg-dsv4pro/rerun-20260707-v114-completion-first-terminated3	traces/workspacebench_taobao_permissions_hard.jsonl	validation/workspacebench_taobao_permissions_hard.txt	artifact_manifests/workspacebench_taobao_permissions_hard.json	Permission cells and rule binding mismatch.
dvworld_dvevol_crime_association_network_hard	FAIL	first_current_fill	runs/pg-dsv4pro/rerun-20260715-v114-fill-missing8	traces/dvworld_dvevol_crime_association_network_hard.jsonl	validation/dvworld_dvevol_crime_association_network_hard.txt	artifact_manifests/dvworld_dvevol_crime_association_network_hard.json	Correlation/network mismatch.
bankertoolbench_cake_lbo_sensitivity_hard	PASS	first_current_fill	runs/pg-dsv4pro/rerun-20260715-v114-fill-missing8	traces/bankertoolbench_cake_lbo_sensitivity_hard.jsonl	validation/bankertoolbench_cake_lbo_sensitivity_hard.txt	artifact_manifests/bankertoolbench_cake_lbo_sensitivity_hard.json	Excel, PPT, and PDF gates passed.
finlongdocqa_interest_expense_sensitivity_screen_hard	FAIL	first_current_fill	runs/pg-dsv4pro/rerun-20260715-v114-fill-missing8	traces/finlongdocqa_interest_expense_sensitivity_screen_hard.jsonl	validation/finlongdocqa_interest_expense_sensitivity_screen_hard.txt	artifact_manifests/finlongdocqa_interest_expense_sensitivity_screen_hard.json	Eligible universe, ranking, spread, or load-bearing figures mismatch.
dabstep_real_fees_1681	PASS	existing_exact_v114	runs/pg-dsv4pro/rerun-20260707-max64k-cc-codex-gap2-fast	traces/dabstep_real_fees_1681.jsonl	validation/dabstep_real_fees_1681.txt	artifact_manifests/dabstep_real_fees_1681.json	Fee ID set exactly matched gold.
prepbench_loyalty_tier_normalization_hard	PASS	first_current_fill	runs/pg-dsv4pro/rerun-20260715-v114-fill-missing8	traces/prepbench_loyalty_tier_normalization_hard.jsonl	validation/prepbench_loyalty_tier_normalization_hard.txt	artifact_manifests/prepbench_loyalty_tier_normalization_hard.json	Tier normalization and profit share passed.
spreadsheetbench_working_paper_transpose_hard	PASS	existing_exact_v114	runs/pg-dsv4pro/rerun-20260707-max64k-spreadsheet-only	traces/spreadsheetbench_working_paper_transpose_hard.jsonl	validation/spreadsheetbench_working_paper_transpose_hard.txt	artifact_manifests/spreadsheetbench_working_paper_transpose_hard.json	All three variants matched.
harveylab_reps_diligence_discrepancy_hard	PASS	existing_exact_v114	runs/pg-dsv4pro/rerun-20260707-max64k-harvey	traces/harveylab_reps_diligence_discrepancy_hard.jsonl	validation/harveylab_reps_diligence_discrepancy_hard.txt	artifact_manifests/harveylab_reps_diligence_discrepancy_hard.json	Memo coverage, source binding, and controls passed.
medagentbench_potassium_repletion_order_hard	PASS	targeted_retry_canonical_artifact_contract	runs/pg-dsv4pro/rerun-20260715-v114-cc-tie-medagent-retry2	traces/medagentbench_potassium_repletion_order_hard.jsonl	validation/medagentbench_potassium_repletion_order_hard.txt	artifact_manifests/medagentbench_potassium_repletion_order_hard.json	Canonical artifact/action validator PASS; trace also contains live GET/POST actions. Optional live validator first-page pagination is not used for the PASS label.
